Genres,Source,Type,Episodes,Score,Favorites,Decimal,Popularity
"Comedy, Romance, Shounen, Supernatural",Manga,TV,12,7.63,2809,147,231
"Comedy, Romance, Shounen",Manga,TV,26,7.89,2579,19,366
"Comedy, Romance, Fantasy, Shoujo",Manga,TV,51,7.55,802,519,1173
"Comedy, Romance, Fantasy",Original,TV,38,8.21,3344,7,916
"Comedy, Romance, Shounen",Manga,TV,25,8.67,2082,19,426
"Romance, Shoujo, Otro",Manga,TV,50,8.03,826,4610,1630
"Comedy, Romance, Fantasy, Shoujo",Manga,TV,26,7.26,122,519,2490
"Romance, Fantasy, Action, Supernatural",Light novel,TV,24,7.72,1075,142,332
"Comedy, Romance, Music, Otro",Manga,TV,11,8.24,282,12291,988
"Comedy, Romance, Shoujo, Ecchi",Manga,TV,26,8.34,24072,771,69
"Comedy, Romance, Shoujo",Manga,TV,12,8.15,1123,515,799
"Comedy, Romance, Shoujo",Manga,TV,26,8.2,14436,515,71
"Comedy, Romance, Shoujo",Manga,TV,12,8.23,726,515,945
"Comedy, Romance, Shoujo",Manga,TV,13,7.71,4064,515,88
"Comedy, Fantasy, Shounen, Action, Supernatural",Manga,TV,366,7.9,40718,157,18
"Comedy, Sci-Fi, Romance, Shounen, Ecchi",Manga,TV,26,7.53,3271,307,188
"Romance, Shoujo",Manga,TV,25,8.13,8041,514,111
"Comedy, Fantasy, Shounen, Action",Manga,TV,500,8.18,42846,29,20
"Comedy, Romance, Fantasy, Shounen",Manga,TV,161,7.85,2742,23,623
"Comedy, Romance",Light novel,TV,25,8.39,35322,3,13
"Comedy, Romance, Shounen",Manga,TV,25,8.49,1023,19,374
"Comedy, Romance, Shoujo, Shounen",Manga,TV,26,7.77,1403,531,1291
"Comedy, Romance, Shoujo",Manga,TV,25,8.24,4668,515,488
"Sports, Romance, Otro",Manga,TV,25,8.47,1116,8194,757
"Historical, Fantasy, Shoujo, Action, Supernatural",Light novel,TV,26,7.68,274,1676,1793
"Sports, Romance, Otro",Manga,TV,25,8.29,4524,8194,348
"Comedy, Romance, Shoujo",Manga,TV,25,7.7,2632,515,473
"Comedy, Romance, Shounen, Action, Supernatural",Manga,TV,60,8.02,3785,155,208
"Romance, Shoujo",Manga,TV,39,7.87,500,514,1654
"Comedy, Romance, Shounen",Manga,TV,77,8.33,2474,19,646
"Comedy, Romance, Shounen, Ecchi",4-koma manga,TV,12,7.1,1641,275,285
"Comedy, Romance, Shounen, Ecchi",Manga,TV,0,7.73,600,275,1937
"Comedy, Romance, Fantasy, Shoujo",Manga,TV,26,7.77,7579,519,222
"Comedy, Historical, Romance, Fantasy",Light novel,TV,39,8.04,1059,1031,1313
"Comedy, Romance, Fantasy, Shounen, Action",Manga,TV,0,8.54,69760,31,35
"Romance, Shoujo",Manga,TV,51,8.18,365,514,2523
"Comedy, Sports, Shounen, Action, Ecchi",Manga,TV,25,7.64,3254,4377,297
"Comedy, Historical, Romance, Fantasy",Light novel,TV,39,8.16,201,1031,2233
"Comedy, Historical, Romance, Fantasy, Shounen, Action, Supernatural",Manga,TV,167,7.9,12282,1183,141
"Comedy, Romance, Shounen, Ecchi",Manga,TV,12,6.3,48,275,1858
"Comedy, Romance, Music, Otro",Manga,TV,11,8.34,381,12291,995
"Comedy, Shoujo, Gore, Supernatural, Otro",Novel,TV,25,7.92,2579,21121,527
"Sci-Fi, Romance, Action, Otro",Light novel,TV,24,7.53,3680,4138,103
"Comedy, Romance, Shounen",Manga,TV,25,8.32,6846,19,172
"Comedy, Romance, Music, Otro",Manga,TV,23,8.41,4443,12291,381
"Comedy, Romance, Fantasy, Shoujo, Supernatural",Manga,TV,13,8.14,6387,647,259
"Comedy, Romance, Fantasy, Shoujo",Manga,TV,70,8.21,9453,519,292
"Comedy, Sci-Fi, Shoujo",Manga,TV,78,7.78,216,545,3045
"Romance, Shoujo",Manga,TV,12,8.12,1117,514,322
"Comedy, Romance, Shoujo",Manga,TV,12,8.07,2908,515,701
"Comedy, Sci-Fi, Romance",Original,TV,12,6.49,18,35,3214
"Comedy, Romance, Shoujo",Manga,TV,12,7.99,4707,515,568
"Comedy, Romance, Fantasy, Shoujo, Music, Ecchi",Visual novel,TV,25,7.63,1126,8967,1138
"Fantasy, Shounen, Action, Supernatural",Manga,TV,13,7.92,825,156,795
"Gore, Action, Otro",Original,OVA,1,7.4,276,20488,2044
"Fantasy, Action, Supernatural",Novel,TV,45,8.13,1907,140,1016
"Romance, Shoujo, Supernatural, Ecchi",Visual novel,OVA,1,6.04,64,898,2721
Comedy,Manga,TV,0,3.44,0,1,10123
"Sci-Fi, Fantasy, Action",Manga,OVA,4,7.14,184,44,1950
Comedy,Light novel,Special,6,6.15,3,1,3977
"Sci-Fi, Romance, Action",Light novel,Special,1,7.35,3,42,6165
Comedy,Original,Special,25,7.42,7,1,4119
Comedy,Original,ONA,1,4.32,0,1,12944
"Historical, Action",Manga,TV,12,5.91,13,1032,2963
"Romance, Thriller, Otro",Original,Movie,1,8.01,226,69634,637
"Fantasy, Otro",Manga,TV,51,6.86,3,4100,9003
"Fantasy, Shounen, Action, Ecchi",Manga,TV,10,6.41,158,284,1025
"Sci-Fi, Fantasy, Action",Manga,OVA,1,5.73,0,44,9879
"Fantasy, Ecchi",Other,TV,10,5.2,47,260,2533
Comedy,Light novel,Special,1,6.65,29,1,2146
"Comedy, Shounen",Manga,Special,4,5.92,0,17,8668
"Sci-Fi, Action",Original,OVA,2,5.63,3,40,6716
Hentai,Visual novel,OVA,1,6.54,39,2048,4398
"Sci-Fi, Romance, Fantasy",Original,TV,13,6.95,159,38,2600
"Comedy, Romance, Music",4-koma manga,TV,26,8.14,7149,8195,183
"Romance, Hentai",Manga,OVA,2,6.93,92,2050,2808
"Comedy, Fantasy, Otro",Game,Movie,1,7.13,13,4101,4395
"Comedy, Romance",Manga,TV,12,7.47,143,3,1826
Fantasy,Manga,Movie,1,7.57,17,4,3511
"Comedy, Romance",Manga,TV,12,6.03,13,3,3130
"Sci-Fi, Fantasy",Visual novel,OVA,2,5.81,0,36,6326
"Comedy, Sci-Fi",Original,TV,13,7.88,2868,33,468
"Fantasy, Shounen, Action, Supernatural",Manga,OVA,2,7.77,94,156,1245
