Genres,Source,Type,Episodes,Decimal,Popularity,Score,Favorites
"Comedy, Romance, Shounen, Supernatural",6,5,12,147,231,7.63,2809
"Comedy, Romance, Shounen",6,5,26,19,366,7.89,2579
"Comedy, Romance, Fantasy, Shoujo",6,5,51,519,1173,7.55,802
"Comedy, Romance, Fantasy",9,5,38,7,916,8.21,3344
"Comedy, Romance, Shounen",6,5,25,19,426,8.67,2082
"Romance, Shoujo, Otro",6,5,50,578,1630,8.03,826
"Comedy, Romance, Fantasy, Shoujo",6,5,26,519,2490,7.26,122
"Romance, Fantasy, Action, Supernatural",5,5,24,142,332,7.72,1075
"Comedy, Romance, Music, Otro",6,5,11,8259,988,8.24,282
"Comedy, Romance, Shoujo, Ecchi",6,5,26,771,69,8.34,24072
"Comedy, Romance, Shoujo",6,5,12,515,799,8.15,1123
"Comedy, Romance, Shoujo",6,5,26,515,71,8.2,14436
"Comedy, Romance, Shoujo",6,5,12,515,945,8.23,726
"Comedy, Romance, Shoujo",6,5,13,515,88,7.71,4064
"Comedy, Fantasy, Shounen, Action, Supernatural",6,5,366,157,18,7.9,40718
"Comedy, Sci-Fi, Romance, Shounen, Ecchi",6,5,26,307,188,7.53,3271
"Romance, Shoujo",6,5,25,514,111,8.13,8041
"Comedy, Fantasy, Shounen, Action",6,5,500,29,20,8.18,42846
"Comedy, Romance, Fantasy, Shounen",6,5,161,23,623,7.85,2742
"Comedy, Romance",5,5,25,3,13,8.39,35322
"Comedy, Romance, Shounen",6,5,25,19,374,8.49,1023
"Comedy, Romance, Shoujo, Shounen",6,5,26,531,1291,7.77,1403
"Comedy, Romance, Shoujo",6,5,25,515,488,8.24,4668
"Sports, Romance, Otro",6,5,25,4162,757,8.47,1116
"Historical, Fantasy, Shoujo, Action, Supernatural",5,5,26,1676,1793,7.68,274
"Sports, Romance, Otro",6,5,25,4162,348,8.29,4524
"Comedy, Romance, Shoujo",6,5,25,515,473,7.7,2632
"Comedy, Romance, Shounen, Action, Supernatural",6,5,60,155,208,8.02,3785
"Romance, Shoujo",6,5,39,514,1654,7.87,500
"Comedy, Romance, Shounen",6,5,77,19,646,8.33,2474
"Comedy, Romance, Shounen, Ecchi",15,5,12,275,285,7.1,1641
"Comedy, Romance, Shounen, Ecchi",6,5,0,275,1937,7.73,600
"Comedy, Romance, Fantasy, Shoujo",6,5,26,519,222,7.77,7579
"Comedy, Historical, Romance, Fantasy",5,5,39,1031,1313,8.04,1059
"Comedy, Romance, Fantasy, Shounen, Action",6,5,0,31,35,8.54,69760
"Romance, Shoujo",6,5,51,514,2523,8.18,365
"Comedy, Sports, Shounen, Action, Ecchi",6,5,25,4377,297,7.64,3254
"Comedy, Historical, Romance, Fantasy",5,5,39,1031,2233,8.16,201
"Comedy, Historical, Romance, Fantasy, Shounen, Action, Supernatural",6,5,167,1183,141,7.9,12282
"Comedy, Romance, Shounen, Ecchi",6,5,12,275,1858,6.3,48
"Comedy, Romance, Music, Otro",6,5,11,8259,995,8.34,381
"Comedy, Shoujo, Gore, Supernatural, Otro",8,5,25,17089,527,7.92,2579
"Sci-Fi, Romance, Action, Otro",5,5,24,106,103,7.53,3680
"Comedy, Romance, Shounen",6,5,25,19,172,8.32,6846
"Comedy, Romance, Music, Otro",6,5,23,8259,381,8.41,4443
"Comedy, Romance, Fantasy, Shoujo, Supernatural",6,5,13,647,259,8.14,6387
"Comedy, Romance, Fantasy, Shoujo",6,5,70,519,292,8.21,9453
"Comedy, Sci-Fi, Shoujo",6,5,78,545,3045,7.78,216
"Romance, Shoujo",6,5,12,514,322,8.12,1117
"Comedy, Romance, Shoujo",6,5,12,515,701,8.07,2908
"Comedy, Sci-Fi, Romance",9,5,12,35,3214,6.49,18
"Comedy, Romance, Shoujo",6,5,12,515,568,7.99,4707
"Comedy, Romance, Fantasy, Shoujo, Music, Ecchi",13,5,25,8967,1138,7.63,1126
"Fantasy, Shounen, Action, Supernatural",6,5,13,156,795,7.92,825
"Gore, Action, Otro",9,3,1,16456,2044,7.4,276
