Genres,Source,Type,Episodes,Decimal,Romance,Shoujo,Ecchi,Shounen,Fantasy,Comedy,Music,Sports,Hentai,Historical,Mistery,Thriller,Supernatural,Gore,SciFi,Action,Otro,Popularity,Score,Favorites
"Comedy, Romance, Shounen, Supernatural",6,5,12,147,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,231,7.63,2809
"Comedy, Romance, Shounen",6,5,26,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,366,7.89,2579
"Comedy, Romance, Fantasy, Shoujo",6,5,51,519,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1173,7.55,802
"Comedy, Romance, Fantasy",9,5,38,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,916,8.21,3344
"Comedy, Romance, Shounen",6,5,25,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,426,8.67,2082
"Romance, Shoujo, Otro",6,5,50,578,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1630,8.03,826
"Comedy, Romance, Fantasy, Shoujo",6,5,26,519,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2490,7.26,122
"Romance, Fantasy, Action, Supernatural",5,5,24,142,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,332,7.72,1075
"Comedy, Romance, Music, Otro",6,5,11,8259,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,988,8.24,282
"Comedy, Romance, Shoujo, Ecchi",6,5,26,771,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,8.34,24072
"Comedy, Romance, Shoujo",6,5,12,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,799,8.15,1123
"Comedy, Romance, Shoujo",6,5,26,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71,8.2,14436
"Comedy, Romance, Shoujo",6,5,12,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,945,8.23,726
"Comedy, Romance, Shoujo",6,5,13,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88,7.71,4064
"Comedy, Fantasy, Shounen, Action, Supernatural",6,5,366,157,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,18,7.9,40718
"Comedy, Sci-Fi, Romance, Shounen, Ecchi",6,5,26,307,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,188,7.53,3271
"Romance, Shoujo",6,5,25,514,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,8.13,8041
"Comedy, Fantasy, Shounen, Action",6,5,500,29,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,20,8.18,42846
"Comedy, Romance, Fantasy, Shounen",6,5,161,23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,623,7.85,2742
"Comedy, Romance",5,5,25,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,8.39,35322
"Comedy, Romance, Shounen",6,5,25,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,374,8.49,1023
"Comedy, Romance, Shoujo, Shounen",6,5,26,531,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1291,7.77,1403
"Comedy, Romance, Shoujo",6,5,25,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,488,8.24,4668
"Sports, Romance, Otro",6,5,25,4162,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,757,8.47,1116
"Historical, Fantasy, Shoujo, Action, Supernatural",5,5,26,1676,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1793,7.68,274
"Sports, Romance, Otro",6,5,25,4162,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,348,8.29,4524
"Comedy, Romance, Shoujo",6,5,25,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,473,7.7,2632
"Comedy, Romance, Shounen, Action, Supernatural",6,5,60,155,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,208,8.02,3785
"Romance, Shoujo",6,5,39,514,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654,7.87,500
"Comedy, Romance, Shounen",6,5,77,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,646,8.33,2474
"Comedy, Romance, Shounen, Ecchi",15,5,12,275,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,285,7.1,1641
"Comedy, Romance, Shounen, Ecchi",6,5,0,275,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1937,7.73,600
"Comedy, Romance, Fantasy, Shoujo",6,5,26,519,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,222,7.77,7579
"Comedy, Historical, Romance, Fantasy",5,5,39,1031,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1313,8.04,1059
"Comedy, Romance, Fantasy, Shounen, Action",6,5,0,31,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,35,8.54,69760
"Romance, Shoujo",6,5,51,514,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523,8.18,365
"Comedy, Sports, Shounen, Action, Ecchi",6,5,25,4377,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,297,7.64,3254
"Comedy, Historical, Romance, Fantasy",5,5,39,1031,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2233,8.16,201
