Genres,Source,Type,Episodes,Decimal,Romance,Shoujo,Ecchi,Shounen,Fantasy,Comedy,Music,Sports,Hentai,Historical,Mistery,Thriller,Supernatural,Gore,SciFi,Action,Otro,Members,Score,Favorites
"Comedy, Romance, Shounen, Supernatural",6,5,12,147,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,283882,7.63,2809
"Comedy, Romance, Shounen",6,5,26,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,204003,7.89,2579
"Comedy, Romance, Fantasy, Shoujo",6,5,51,519,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,70127,7.55,802
"Comedy, Romance, Fantasy",9,5,38,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,93312,8.21,3344
"Comedy, Romance, Shounen",6,5,25,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,182765,8.67,2082
"Romance, Shoujo, Otro",6,5,50,578,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45625,8.03,826
"Comedy, Romance, Fantasy, Shoujo",6,5,26,519,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22778,7.26,122
"Romance, Fantasy, Action, Supernatural",5,5,24,142,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,220591,7.72,1075
"Comedy, Romance, Music, Otro",6,5,11,8259,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,85660,8.24,282
"Comedy, Romance, Shoujo, Ecchi",6,5,26,771,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,538843,8.34,24072
"Comedy, Romance, Shoujo",6,5,12,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108186,8.15,1123
"Comedy, Romance, Shoujo",6,5,26,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,531292,8.2,14436
"Comedy, Romance, Shoujo",6,5,12,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89543,8.23,726
"Comedy, Romance, Shoujo",6,5,13,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,482105,7.71,4064
"Comedy, Fantasy, Shounen, Action, Supernatural",6,5,366,157,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,819284,7.9,40718
"Comedy, Sci-Fi, Romance, Shounen, Ecchi",6,5,26,307,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,317641,7.53,3271
"Romance, Shoujo",6,5,25,514,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417136,8.13,8041
"Comedy, Fantasy, Shounen, Action",6,5,500,29,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,794112,8.18,42846
"Comedy, Romance, Fantasy, Shounen",6,5,161,23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,134537,7.85,2742
"Comedy, Romance",5,5,25,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,910373,8.39,35322
"Comedy, Romance, Shounen",6,5,25,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,201720,8.49,1023
"Comedy, Romance, Shoujo, Shounen",6,5,26,531,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,62951,7.77,1403
"Comedy, Romance, Shoujo",6,5,25,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,164738,8.24,4668
"Sports, Romance, Otro",6,5,25,4162,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,114340,8.47,1116
"Historical, Fantasy, Shoujo, Action, Supernatural",5,5,26,1676,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,39422,7.68,274
"Sports, Romance, Otro",6,5,25,4162,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,213902,8.29,4524
"Comedy, Romance, Shoujo",6,5,25,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,170224,7.7,2632
"Comedy, Romance, Shounen, Action, Supernatural",6,5,60,155,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,302082,8.02,3785
"Romance, Shoujo",6,5,39,514,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44633,7.87,500
"Comedy, Romance, Shounen",6,5,77,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,130264,8.33,2474
"Comedy, Romance, Shounen, Ecchi",15,5,12,275,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,244791,7.1,1641
"Comedy, Romance, Shounen, Ecchi",6,5,0,275,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,34788,7.73,600
"Comedy, Romance, Fantasy, Shoujo",6,5,26,519,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,292572,7.77,7579
"Comedy, Historical, Romance, Fantasy",5,5,39,1031,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,61739,8.04,1059
"Comedy, Romance, Fantasy, Shounen, Action",6,5,0,31,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,720133,8.54,69760
"Romance, Shoujo",6,5,51,514,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22123,8.18,365
"Comedy, Sports, Shounen, Action, Ecchi",6,5,25,4377,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,235764,7.64,3254
"Comedy, Historical, Romance, Fantasy",5,5,39,1031,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,27481,8.16,201
"Comedy, Historical, Romance, Fantasy, Shounen, Action, Supernatural",6,5,167,1183,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,371313,7.9,12282
"Comedy, Romance, Shounen, Ecchi",6,5,12,275,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,37256,6.3,48
"Comedy, Romance, Music, Otro",6,5,11,8259,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,84808,8.34,381
"Comedy, Shoujo, Gore, Supernatural, Otro",8,5,25,17089,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,152490,7.92,2579
"Sci-Fi, Romance, Action, Otro",5,5,24,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,433343,7.53,3680
"Comedy, Romance, Shounen",6,5,25,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,332666,8.32,6846
"Comedy, Romance, Music, Otro",6,5,23,8259,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,198927,8.41,4443
"Comedy, Romance, Fantasy, Shoujo, Supernatural",6,5,13,647,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,266342,8.14,6387
"Comedy, Romance, Fantasy, Shoujo",6,5,70,519,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,237669,8.21,9453
"Comedy, Sci-Fi, Shoujo",6,5,78,545,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15211,7.78,216
"Romance, Shoujo",6,5,12,514,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224494,8.12,1117
"Comedy, Romance, Shoujo",6,5,12,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,121752,8.07,2908
"Comedy, Sci-Fi, Romance",9,5,12,35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13818,6.49,18
"Comedy, Romance, Shoujo",6,5,12,515,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146369,7.99,4707
"Comedy, Romance, Fantasy, Shoujo, Music, Ecchi",13,5,25,8967,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,72255,7.63,1126
"Fantasy, Shounen, Action, Supernatural",6,5,13,156,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,108764,7.92,825
"Gore, Action, Otro",9,3,1,16456,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,31844,7.4,276
"Fantasy, Action, Supernatural",8,5,45,140,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,82925,8.13,1907
"Romance, Shoujo, Supernatural, Ecchi",13,3,1,898,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19268,6.04,64
Comedy,6,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,361,3.44,0
"Sci-Fi, Fantasy, Action",6,3,4,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,34469,7.14,184
Comedy,5,4,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8265,6.15,3
"Sci-Fi, Romance, Action",5,4,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2758,7.35,3
Comedy,9,4,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7644,7.42,7
Comedy,9,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102,4.32,0
"Historical, Action",6,5,12,1032,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16223,5.91,13
"Romance, Thriller, Otro",9,0,1,65602,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,132203,8.01,226
"Fantasy, Otro",6,5,51,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,673,6.86,3
"Fantasy, Shounen, Action, Ecchi",6,5,10,284,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,81824,6.41,158
"Sci-Fi, Fantasy, Action",6,3,1,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,412,5.73,0
"Fantasy, Ecchi",10,5,10,260,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22001,5.2,47
Comedy,5,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29209,6.65,29
"Comedy, Shounen",6,4,4,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,811,5.92,0
"Sci-Fi, Action",9,3,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2147,5.63,3
Hentai,13,3,1,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6450,6.54,39
"Sci-Fi, Romance, Fantasy",9,5,13,38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21106,6.95,159
"Comedy, Romance, Music",15,5,26,8195,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,322621,8.14,7149
"Romance, Hentai",6,3,2,2050,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17989,6.93,92
"Comedy, Fantasy, Otro",4,0,1,69,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6463,7.13,13
"Comedy, Romance",6,5,12,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38419,7.47,143
Fantasy,6,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11187,7.57,17
"Comedy, Romance",6,5,12,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14460,6.03,13
"Sci-Fi, Fantasy",13,3,2,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2569,5.81,0
"Comedy, Sci-Fi",9,5,13,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,171855,7.88,2868
"Fantasy, Shounen, Action, Supernatural",6,3,2,156,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,65495,7.77,94
"Sci-Fi, Shounen, Action",6,5,12,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,105762,7.5,800
"Comedy, Music",9,5,25,8193,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4497,6.47,7
Hentai,6,3,1,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1872,6.49,6
"Romance, Fantasy",11,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5161,7.17,21
"Sci-Fi, Fantasy, Action",9,5,22,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,214467,7.69,1717
"Fantasy, Shounen, Action",6,5,42,28,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,41792,7.42,219
"Romance, Music",8,5,13,8194,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,203942,8.02,3337
"Comedy, Sci-Fi, Historical, Shounen, Action",6,5,12,1081,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,42265,8.85,393
"Historical, Fantasy",9,5,26,1028,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4777,6.06,15
"Comedy, Romance, Shounen",6,5,12,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,80620,7.27,210
"Comedy, Romance",10,5,141,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,334,6.66,2
Romance,6,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6066,7.7,2
Otro,2,5,12,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101587,7.36,501
"Comedy, Romance, Shoujo, Shounen, Ecchi",6,5,12,787,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20817,6.28,26
"Comedy, Shounen",6,5,119,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,189,6.05,0
"Comedy, Romance, Shounen",6,0,1,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,43396,7.94,230
"Gore, Action, Supernatural",10,3,22,16520,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,22360,7.12,55
"Sci-Fi, Romance, Fantasy, Action",6,4,1,46,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1027,5.97,2
"Mistery, Romance, Fantasy, Shounen, Otro",6,5,12,32854,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,77826,7.73,539
"Fantasy, Shounen, Otro",6,5,12,84,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,72634,7.2,147
"Comedy, Otro",14,5,13,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4052,6.84,6
"Comedy, Fantasy, Supernatural",5,5,26,133,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,89198,7.85,1702
Sci-Fi,9,5,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,72747,7.01,159
"Comedy, Fantasy, Shounen, Action",6,5,131,29,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,250101,7.78,4314
"Comedy, Romance, Fantasy",6,5,12,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,37639,6.82,65
"Fantasy, Hentai, Action",13,3,4,2060,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,15385,7.56,437
"Historical, Action, Otro",9,5,12,1096,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,92722,7.71,609
"Comedy, Supernatural",6,5,12,129,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21460,6.78,83
Music,13,3,1,8192,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1599,6.57,3
"Historical, Supernatural",9,5,25,1152,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12136,7.0,20
