Genres,Decimal,Episodes,Type,Source,Romance,Shoujo,Ecchi,Shounen,Fantasy,Comedy,Music,Sports,Hentai,Historical,Mistery,Thriller,Supernatural,Gore,SciFi,Action,Otro,Members,Score,Favorites
"Comedy, Romance, Shounen, Supernatural",147,12,5,6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,283882,7.63,2809
"Comedy, Romance, Shounen",19,26,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,204003,7.89,2579
"Comedy, Romance, Fantasy, Shoujo",519,51,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,70127,7.55,802
"Comedy, Romance, Fantasy",7,38,5,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,93312,8.21,3344
"Comedy, Romance, Shounen",19,25,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,182765,8.67,2082
"Romance, Shoujo, Otro",578,50,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45625,8.03,826
"Comedy, Romance, Fantasy, Shoujo",519,26,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22778,7.26,122
"Romance, Fantasy, Action, Supernatural",142,24,5,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,220591,7.72,1075
"Comedy, Romance, Music, Otro",8259,11,5,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,85660,8.24,282
"Comedy, Romance, Shoujo, Ecchi",771,26,5,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,538843,8.34,24072
"Comedy, Romance, Shoujo",515,12,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108186,8.15,1123
"Comedy, Romance, Shoujo",515,26,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,531292,8.2,14436
"Comedy, Romance, Shoujo",515,12,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89543,8.23,726
"Comedy, Romance, Shoujo",515,13,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,482105,7.71,4064
"Comedy, Fantasy, Shounen, Action, Supernatural",157,366,5,6,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,819284,7.9,40718
"Comedy, Sci-Fi, Romance, Shounen, Ecchi",307,26,5,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,317641,7.53,3271
"Romance, Shoujo",514,25,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417136,8.13,8041
"Comedy, Fantasy, Shounen, Action",29,500,5,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,794112,8.18,42846
"Comedy, Romance, Fantasy, Shounen",23,161,5,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,134537,7.85,2742
"Comedy, Romance",3,25,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,910373,8.39,35322
"Comedy, Romance, Shounen",19,25,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,201720,8.49,1023
"Comedy, Romance, Shoujo, Shounen",531,26,5,6,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,62951,7.77,1403
"Comedy, Romance, Shoujo",515,25,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,164738,8.24,4668
"Sports, Romance, Otro",4162,25,5,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,114340,8.47,1116
"Historical, Fantasy, Shoujo, Action, Supernatural",1676,26,5,5,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,39422,7.68,274
"Sports, Romance, Otro",4162,25,5,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,213902,8.29,4524
"Comedy, Romance, Shoujo",515,25,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,170224,7.7,2632
"Comedy, Romance, Shounen, Action, Supernatural",155,60,5,6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,302082,8.02,3785
"Romance, Shoujo",514,39,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44633,7.87,500
"Comedy, Romance, Shounen",19,77,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,130264,8.33,2474
"Comedy, Romance, Shounen, Ecchi",275,12,5,15,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,244791,7.1,1641
"Comedy, Romance, Shounen, Ecchi",275,0,5,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,34788,7.73,600
"Comedy, Romance, Fantasy, Shoujo",519,26,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,292572,7.77,7579
"Comedy, Historical, Romance, Fantasy",1031,39,5,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,61739,8.04,1059
"Comedy, Romance, Fantasy, Shounen, Action",31,0,5,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,720133,8.54,69760
"Romance, Shoujo",514,51,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22123,8.18,365
"Comedy, Sports, Shounen, Action, Ecchi",4377,25,5,6,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,235764,7.64,3254
"Comedy, Historical, Romance, Fantasy",1031,39,5,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,27481,8.16,201
"Comedy, Historical, Romance, Fantasy, Shounen, Action, Supernatural",1183,167,5,6,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,371313,7.9,12282
"Comedy, Romance, Shounen, Ecchi",275,12,5,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,37256,6.3,48
"Comedy, Romance, Music, Otro",8259,11,5,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,84808,8.34,381
"Comedy, Shoujo, Gore, Supernatural, Otro",17089,25,5,8,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,152490,7.92,2579
"Sci-Fi, Romance, Action, Otro",106,24,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,433343,7.53,3680
"Comedy, Romance, Shounen",19,25,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,332666,8.32,6846
"Comedy, Romance, Music, Otro",8259,23,5,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,198927,8.41,4443
"Comedy, Romance, Fantasy, Shoujo, Supernatural",647,13,5,6,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,266342,8.14,6387
"Comedy, Romance, Fantasy, Shoujo",519,70,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,237669,8.21,9453
"Comedy, Sci-Fi, Shoujo",545,78,5,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15211,7.78,216
"Romance, Shoujo",514,12,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224494,8.12,1117
"Comedy, Romance, Shoujo",515,12,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,121752,8.07,2908
"Comedy, Sci-Fi, Romance",35,12,5,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13818,6.49,18
"Comedy, Romance, Shoujo",515,12,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146369,7.99,4707
"Comedy, Romance, Fantasy, Shoujo, Music, Ecchi",8967,25,5,13,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,72255,7.63,1126
"Fantasy, Shounen, Action, Supernatural",156,13,5,6,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,108764,7.92,825
"Gore, Action, Otro",16456,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,31844,7.4,276
"Fantasy, Action, Supernatural",140,45,5,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,82925,8.13,1907
"Romance, Shoujo, Supernatural, Ecchi",898,1,3,13,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19268,6.04,64
Comedy,1,0,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,361,3.44,0
"Sci-Fi, Fantasy, Action",44,4,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,34469,7.14,184
Comedy,1,6,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8265,6.15,3
"Sci-Fi, Romance, Action",42,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2758,7.35,3
Comedy,1,25,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7644,7.42,7
Comedy,1,1,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102,4.32,0
"Historical, Action",1032,12,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16223,5.91,13
"Romance, Thriller, Otro",65602,1,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,132203,8.01,226
"Fantasy, Otro",68,51,5,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,673,6.86,3
"Fantasy, Shounen, Action, Ecchi",284,10,5,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,81824,6.41,158
"Sci-Fi, Fantasy, Action",44,1,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,412,5.73,0
"Fantasy, Ecchi",260,10,5,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22001,5.2,47
Comedy,1,1,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29209,6.65,29
"Comedy, Shounen",17,4,4,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,811,5.92,0
"Sci-Fi, Action",40,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2147,5.63,3
Hentai,2048,1,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6450,6.54,39
"Sci-Fi, Romance, Fantasy",38,13,5,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21106,6.95,159
"Comedy, Romance, Music",8195,26,5,15,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,322621,8.14,7149
"Romance, Hentai",2050,2,3,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17989,6.93,92
"Comedy, Fantasy, Otro",69,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6463,7.13,13
"Comedy, Romance",3,12,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38419,7.47,143
Fantasy,4,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11187,7.57,17
