Genres,Episodes,Decimal,AiredYear,Type,Source,Romance,Shoujo,Ecchi,Shounen,Fantasy,Comedy,Music,Sports,Hentai,Historical,Mistery,Thriller,Supernatural,Gore,SciFi,Action,Otro,Members,Score,Favorites
"Comedy, Romance, Shounen, Supernatural",12,147,2012.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,283882,7.63,2809
"Comedy, Romance, Shounen",26,19,2007.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,204003,7.89,2579
"Comedy, Romance, Fantasy, Shoujo",51,519,2008.0,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,70127,7.55,802
"Comedy, Romance, Fantasy",38,7,2002.0,5,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,93312,8.21,3344
"Comedy, Romance, Shounen",25,19,2012.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,182765,8.67,2082
"Romance, Shoujo, Otro",50,578,2009.0,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45625,8.03,826
"Comedy, Romance, Fantasy, Shoujo",26,519,2003.0,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22778,7.26,122
"Romance, Fantasy, Action, Supernatural",24,142,2007.0,5,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,220591,7.72,1075
"Comedy, Romance, Music, Otro",11,8259,2008.0,5,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,85660,8.24,282
"Comedy, Romance, Shoujo, Ecchi",26,771,2006.0,5,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,538843,8.34,24072
"Comedy, Romance, Shoujo",12,515,2008.0,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,108186,8.15,1123
"Comedy, Romance, Shoujo",26,515,2010.0,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,531292,8.2,14436
"Comedy, Romance, Shoujo",12,515,2011.0,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,89543,8.23,726
"Comedy, Romance, Shoujo",13,515,2012.0,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,482105,7.71,4064
"Comedy, Fantasy, Shounen, Action, Supernatural",366,157,2004.0,5,6,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,819284,7.9,40718
"Comedy, Sci-Fi, Romance, Shounen, Ecchi",26,307,2002.0,5,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,317641,7.53,3271
"Romance, Shoujo",25,514,2009.0,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417136,8.13,8041
"Comedy, Fantasy, Shounen, Action",500,29,2007.0,5,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,794112,8.18,42846
"Comedy, Romance, Fantasy, Shounen",161,23,1989.0,5,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,134537,7.85,2742
"Comedy, Romance",25,3,2008.0,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,910373,8.39,35322
"Comedy, Romance, Shounen",25,19,2011.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,201720,8.49,1023
"Comedy, Romance, Shoujo, Shounen",26,531,2004.0,5,6,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,62951,7.77,1403
"Comedy, Romance, Shoujo",25,515,2008.0,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,164738,8.24,4668
"Sports, Romance, Otro",25,4162,2013.0,5,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,114340,8.47,1116
"Historical, Fantasy, Shoujo, Action, Supernatural",26,1676,2006.0,5,5,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,39422,7.68,274
"Sports, Romance, Otro",25,4162,2011.0,5,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,213902,8.29,4524
"Comedy, Romance, Shoujo",25,515,2008.0,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,170224,7.7,2632
"Comedy, Romance, Shounen, Action, Supernatural",60,155,2011.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,302082,8.02,3785
"Romance, Shoujo",39,514,2009.0,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44633,7.87,500
"Comedy, Romance, Shounen",77,19,2011.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,130264,8.33,2474
"Comedy, Romance, Shounen, Ecchi",12,275,2010.0,5,15,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,244791,7.1,1641
"Comedy, Romance, Shounen, Ecchi",0,275,1992.0,5,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,34788,7.73,600
"Comedy, Romance, Fantasy, Shoujo",26,519,2001.0,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,292572,7.77,7579
"Comedy, Historical, Romance, Fantasy",39,1031,2006.0,5,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,61739,8.04,1059
"Comedy, Romance, Fantasy, Shounen, Action",0,31,1999.0,5,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,720133,8.54,69760
"Romance, Shoujo",51,514,2005.0,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22123,8.18,365
"Comedy, Sports, Shounen, Action, Ecchi",25,4377,2006.0,5,6,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,235764,7.64,3254
"Comedy, Historical, Romance, Fantasy",39,1031,2007.0,5,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,27481,8.16,201
"Comedy, Historical, Romance, Fantasy, Shounen, Action, Supernatural",167,1183,2000.0,5,6,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,371313,7.9,12282
"Comedy, Romance, Shounen, Ecchi",12,275,2010.0,5,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,37256,6.3,48
"Comedy, Romance, Music, Otro",11,8259,2010.0,5,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,84808,8.34,381
"Comedy, Shoujo, Gore, Supernatural, Otro",25,17089,2006.0,5,8,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,152490,7.92,2579
"Sci-Fi, Romance, Action, Otro",24,106,2012.0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,433343,7.53,3680
"Comedy, Romance, Shounen",25,19,2010.0,5,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,332666,8.32,6846
"Comedy, Romance, Music, Otro",23,8259,2007.0,5,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,198927,8.41,4443
"Comedy, Romance, Fantasy, Shoujo, Supernatural",13,647,2012.0,5,6,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,266342,8.14,6387
"Comedy, Romance, Fantasy, Shoujo",70,519,1998.0,5,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,237669,8.21,9453
"Comedy, Sci-Fi, Shoujo",78,545,2000.0,5,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15211,7.78,216
"Romance, Shoujo",12,514,2011.0,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224494,8.12,1117
"Comedy, Romance, Shoujo",12,515,2011.0,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,121752,8.07,2908
"Comedy, Sci-Fi, Romance",12,35,2007.0,5,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13818,6.49,18
"Comedy, Romance, Shoujo",12,515,2008.0,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146369,7.99,4707
"Comedy, Romance, Fantasy, Shoujo, Music, Ecchi",25,8967,2006.0,5,13,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,72255,7.63,1126
"Fantasy, Shounen, Action, Supernatural",13,156,2016.0,5,6,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,108764,7.92,825
"Gore, Action, Otro",1,16456,2017.0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,31844,7.4,276
"Fantasy, Action, Supernatural",45,140,2002.0,5,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,82925,8.13,1907
"Romance, Shoujo, Supernatural, Ecchi",1,898,2015.0,3,13,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19268,6.04,64
Comedy,0,1,2016.0,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,361,3.44,0
"Sci-Fi, Fantasy, Action",4,44,1998.0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,34469,7.14,184
Comedy,6,1,2011.0,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8265,6.15,3
"Sci-Fi, Romance, Action",1,42,2000.0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2758,7.35,3
Comedy,25,1,2010.0,4,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7644,7.42,7
Comedy,1,1,2016.0,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102,4.32,0
"Historical, Action",12,1032,2016.0,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16223,5.91,13
"Romance, Thriller, Otro",1,65602,2013.0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,132203,8.01,226
"Fantasy, Otro",51,68,2008.0,5,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,673,6.86,3
"Fantasy, Shounen, Action, Ecchi",10,284,2015.0,5,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,81824,6.41,158
"Sci-Fi, Fantasy, Action",1,44,1997.0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,412,5.73,0
"Fantasy, Ecchi",10,260,2018.0,5,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22001,5.2,47
Comedy,1,1,2016.0,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29209,6.65,29
"Comedy, Shounen",4,17,2014.0,4,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,811,5.92,0
"Sci-Fi, Action",2,40,1994.0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2147,5.63,3
Hentai,1,2048,2010.0,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6450,6.54,39
"Sci-Fi, Romance, Fantasy",13,38,2001.0,5,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21106,6.95,159
"Comedy, Romance, Music",26,8195,2010.0,5,15,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,322621,8.14,7149
"Romance, Hentai",2,2050,2005.0,3,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17989,6.93,92
"Comedy, Fantasy, Otro",1,69,2006.0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6463,7.13,13
"Comedy, Romance",12,3,2010.0,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38419,7.47,143
Fantasy,1,4,2013.0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11187,7.57,17
"Comedy, Romance",12,3,2016.0,5,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14460,6.03,13
"Sci-Fi, Fantasy",2,36,2004.0,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2569,5.81,0
"Comedy, Sci-Fi",13,33,2014.0,5,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,171855,7.88,2868
"Fantasy, Shounen, Action, Supernatural",2,156,2015.0,3,6,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,65495,7.77,94
"Sci-Fi, Shounen, Action",12,56,2013.0,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,105762,7.5,800
"Comedy, Music",25,8193,2017.0,5,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4497,6.47,7
Hentai,1,2048,2017.0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1872,6.49,6
"Romance, Fantasy",1,6,1978.0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5161,7.17,21
"Sci-Fi, Fantasy, Action",22,44,2017.0,5,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,214467,7.69,1717
"Fantasy, Shounen, Action",42,28,1997.0,5,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,41792,7.42,219
"Romance, Music",13,8194,2015.0,5,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,203942,8.02,3337
